slide_id,label
normal_106,0
normal_055,0
normal_112,0
tumor_055,1
normal_159,0
normal_126,0
tumor_110,1
normal_155,0
normal_092,0
normal_032,0
normal_139,0
tumor_035,1
tumor_028,1
normal_122,0
normal_069,0
tumor_046,1
normal_065,0
normal_138,0
normal_072,0
normal_101,0
normal_050,0
normal_026,0
tumor_058,1
tumor_066,1
normal_127,0
normal_090,0
tumor_011,1
tumor_036,1
normal_075,0
tumor_012,1
tumor_001,1
tumor_004,1
normal_144,0
tumor_100,1
normal_097,0
normal_105,0
tumor_014,1
normal_081,0
tumor_029,1
normal_012,0
tumor_097,1
normal_058,0
normal_013,0
tumor_077,1
normal_100,0
normal_030,0
normal_059,0
normal_087,0
normal_003,0
normal_063,0
normal_033,0
tumor_027,1
tumor_021,1
tumor_071,1
tumor_090,1
normal_132,0
tumor_038,1
normal_115,0
tumor_006,1
normal_079,0
normal_149,0
tumor_085,1
tumor_111,1
normal_131,0
normal_130,0
normal_078,0
normal_037,0
normal_137,0
tumor_074,1
tumor_013,1
normal_123,0
tumor_061,1
normal_111,0
normal_147,0
normal_054,0
tumor_033,1
normal_025,0
normal_073,0
tumor_015,1
normal_036,0
tumor_107,1
normal_027,0
tumor_024,1
tumor_098,1
normal_136,0
normal_019,0
tumor_025,1
tumor_080,1
tumor_017,1
tumor_008,1
normal_150,0
tumor_069,1
tumor_049,1
normal_060,0
normal_134,0
normal_080,0
normal_107,0
normal_084,0
normal_056,0
normal_021,0
tumor_095,1
normal_158,0
normal_028,0
normal_148,0
normal_089,0
normal_049,0
normal_104,0
normal_128,0
normal_029,0
tumor_041,1
tumor_108,1
normal_045,0
tumor_092,1
normal_114,0
normal_038,0
tumor_091,1
normal_077,0
tumor_106,1
normal_015,0
normal_053,0
normal_005,0
tumor_044,1
tumor_051,1
tumor_007,1
normal_035,0
normal_120,0
normal_103,0
tumor_094,1
normal_039,0
normal_048,0
normal_018,0
normal_062,0
tumor_089,1
tumor_063,1
tumor_072,1
normal_008,0
tumor_040,1
normal_016,0
normal_145,0
tumor_086,1
normal_152,0
tumor_056,1
tumor_087,1
normal_143,0
tumor_022,1
tumor_105,1
normal_042,0
normal_006,0
normal_117,0
tumor_065,1
normal_031,0
normal_094,0
normal_146,0
normal_102,0
normal_083,0
normal_093,0
normal_142,0
tumor_020,1
tumor_032,1
normal_052,0
normal_119,0
normal_023,0
normal_157,0
normal_057,0
tumor_034,1
tumor_079,1
normal_113,0
normal_085,0
normal_091,0
normal_010,0
normal_017,0
tumor_045,1
normal_066,0
normal_071,0
normal_034,0
tumor_054,1
tumor_103,1
tumor_010,1
tumor_081,1
tumor_019,1
tumor_068,1
tumor_047,1
normal_129,0
normal_133,0
tumor_084,1
normal_110,0
normal_140,0
tumor_083,1
tumor_026,1
tumor_067,1
tumor_057,1
tumor_070,1
normal_009,0
normal_082,0
tumor_075,1
tumor_109,1
normal_046,0
tumor_002,1
normal_125,0
normal_124,0
normal_024,0
normal_020,0
tumor_016,1
tumor_088,1
tumor_048,1
normal_040,0
normal_022,0
normal_154,0
tumor_104,1
tumor_042,1
normal_061,0
normal_014,0
tumor_005,1
tumor_096,1
tumor_050,1
tumor_082,1
