crmsa_k,drop_path,fold0,fold1,fold2,mean_auc,std_auc
1,0.0,0.9141,0.8821,0.8871,0.8944,0.014
1,0.1,0.9162,0.8892,0.9134,0.9062,0.0121
1,0.2,0.9162,0.8814,0.9077,0.9018,0.0148
3,0.0,0.8892,0.8686,0.9489,0.9022,0.034
3,0.1,0.9276,0.8629,0.9602,0.9169,0.0404
3,0.2,0.9276,0.8835,0.9389,0.9167,0.0239
5,0.0,0.9148,0.9176,0.9517,0.928,0.0168
5,0.1,0.946,0.9176,0.9318,0.9318,0.0116
5,0.2,0.8665,0.8558,0.9581,0.8935,0.0459
8,0.0,0.9389,0.9048,0.9773,0.9403,0.0296
8,0.1,0.853,0.9268,0.9844,0.9214,0.0538
8,0.2,0.88,0.9304,0.9773,0.9292,0.0397
