trial,state,value,region_num,epeg_k,crmsa_k,dropout,lr,weight_decay,fold_aucs,fold_std
0,COMPLETE,0.8688,4,5,3,0.3832290311184182,1.072520974317199e-05,0.0008123245085588687,"[0.8821, 0.8324, 0.892]",0.0261
1,COMPLETE,0.8755,2,15,5,0.15579754426081674,2.701052774960547e-05,1.2562773503807034e-05,"[0.9048, 0.8366, 0.8849]",0.0286
2,COMPLETE,0.7585,4,9,1,0.4795542149013333,0.00026690431824362545,0.0002661901888489054,"[0.8878, 0.6648, 0.723]",0.0944
3,COMPLETE,0.8849,8,15,3,0.36500891374159283,2.8869220380495717e-05,3.632486956676606e-05,"[0.892, 0.8466, 0.9162]",0.0289
4,COMPLETE,0.8707,8,9,3,0.1783931449676581,1.1662890273931386e-05,9.462175356461487e-06,"[0.8821, 0.8452, 0.8849]",0.0181
5,COMPLETE,0.8883,8,15,3,0.4947547746402069,0.00013826083091896769,3.945908811099999e-06,"[0.9077, 0.8352, 0.9219]",0.0379
6,COMPLETE,0.8868,4,9,5,0.3493192507310232,3.081601704446805e-05,1.5512259126484753e-06,"[0.8963, 0.8594, 0.9048]",0.0197
7,COMPLETE,0.8892,8,9,5,0.3245108790277985,0.00013766134492174418,3.0296104428212496e-05,"[0.9205, 0.848, 0.8991]",0.0304
8,COMPLETE,0.8902,2,15,5,0.19971689165954998,4.038176882071833e-05,0.0001847793417351927,"[0.9134, 0.8338, 0.9233]",0.04
9,COMPLETE,0.8973,8,9,3,0.17462802355441434,0.0002081698684485892,4.149795789891592e-05,"[0.9148, 0.8196, 0.9574]",0.0576
10,COMPLETE,0.8634,8,5,1,0.10718475024592788,8.820401042222288e-05,8.09625342125956e-05,"[0.9162, 0.826, 0.848]",0.0384
11,COMPLETE,0.8684,2,15,5,0.238151828449355,5.3216322873887965e-05,0.00015665065761816236,"[0.9091, 0.8054, 0.8906]",0.0452
12,PRUNED,0.6733,2,9,3,0.24842749472584322,0.0002907521122141183,0.0005324680663056647,[],
13,COMPLETE,0.8807,2,15,5,0.23005701357294822,5.752216468093583e-05,9.079116747274293e-05,"[0.9048, 0.8295, 0.9077]",0.0362
14,PRUNED,0.8551,2,5,1,0.16570524026017314,5.311484179376618e-05,3.818425451079132e-05,[],
15,PRUNED,0.8438,8,9,3,0.28203759128492273,0.00015698068783243278,0.0002634542237460721,[],
16,COMPLETE,0.8769,2,15,5,0.10132981228471752,1.923706733849962e-05,1.2986699953119256e-05,"[0.8849, 0.8636, 0.8821]",0.0094
17,COMPLETE,0.9044,8,15,5,0.2085075457271377,9.097816678565854e-05,6.337401338730283e-05,"[0.9176, 0.8807, 0.9148]",0.0168
18,COMPLETE,0.8688,8,9,3,0.28566659841798064,9.783099765964949e-05,7.198081409001702e-05,"[0.9091, 0.7997, 0.8977]",0.0491
19,COMPLETE,0.8743,8,5,1,0.1424129264422592,0.00019892035656922567,2.2314291494702596e-05,"[0.9205, 0.8615, 0.8409]",0.0337
20,COMPLETE,0.892,8,15,5,0.20994117959810515,8.980500890937377e-05,4.8344137563581765e-06,"[0.9176, 0.8324, 0.9261]",0.0423
21,COMPLETE,0.9081,8,15,5,0.2073381055214237,9.432010228507558e-05,4.791647941676073e-06,"[0.9219, 0.8494, 0.9531]",0.0434
22,COMPLETE,0.9034,8,15,5,0.2696525077266544,7.805764324133399e-05,1.970202854460587e-06,"[0.9219, 0.8466, 0.9418]",0.041
23,COMPLETE,0.8849,8,15,5,0.26162871467236254,7.359763040343123e-05,1.5214720867607147e-06,"[0.9276, 0.8267, 0.9006]",0.0426
24,COMPLETE,0.8968,8,15,5,0.31313420243975015,0.00011612242592023438,2.893986118254139e-06,"[0.9332, 0.8537, 0.9034]",0.0328
25,COMPLETE,0.9186,8,15,5,0.4153175069788862,7.791793269057414e-05,5.939716060484203e-06,"[0.9474, 0.875, 0.9332]",0.0313
26,COMPLETE,0.8816,4,15,5,0.4100913116670417,6.609738052579382e-05,7.0288281439297225e-06,"[0.8793, 0.8679, 0.8977]",0.0123
27,COMPLETE,0.8797,8,15,5,0.4420336725837072,0.00010922725988124682,6.126574752455217e-06,"[0.9219, 0.8395, 0.8778]",0.0337
28,COMPLETE,0.884,8,15,5,0.4450051047997095,4.096213373685785e-05,1.7938931442390773e-05,"[0.9062, 0.8509, 0.8949]",0.0239
29,PRUNED,0.8601,4,5,5,0.39109502146848435,4.025407339883401e-05,0.0008334379010556368,[],
